Nom,Texte,Image
"Marie Curie, la scientifique","  Née en 1867 en Pologne, Marie Curie reçoit le prix Nobel de physique en 1903, aux côtés de son époux Pierre, pour leurs recherches conjointes sur les radiations. Ce prix est suivi en 1911 par le Nobel de chimie. Marie Curie est la première femme à avoir obtenu cette distinction et la seule à avoir été honorée dans deux disciplines distinctes. Marie Curie est décédée en 1934 à Passy, en Haute-Savoie. ",https://www.interflora.fr/blog/wp-content/uploads/2015/03/Marie-Curie.jpg
"Coco Chanel, l’élégante","  Née en 1883 à Saumur, Coco Chanel est une créatrice, modiste et styliste française. Bien que son comportement durant l’Occupation allemande, lors de la Seconde Guerre mondiale, est sujet à controverses, elle symbolise l’élégance à la française. En 1915, elle ouvre sa première maison de haute couture et invente une « silhouette neuve » avec des vêtements pratiques pour des femmes dynamiques. ",https://www.interflora.fr/blog/wp-content/uploads/2015/03/Coco-Chanel.jpg
"Joséphine Baker, la star de couleur","  Née en 1906 aux Etats-Unis, Joséphine Baker prend la nationalité française en 1937. Outre son engagement dans la résistance durant la Seconde Guerre mondiale, elle est considérée comme la première star noire. La France la découvre en 1925, dansant un charleston enthousiaste dans un pagne de bananes. Joséphine Baker a également lutté pour l’émancipation des Noirs aux côtés de Martin Luther King. ",https://www.interflora.fr/blog/wp-content/uploads/2015/03/Jos%C3%A9phine-Baker.jpg
"Marlène Dietrich, l’ange bleu","  Considérée comme l’une des plus grandes actrices du monde, Marlène Dietrich est née en 1901 en Allemagne. En 1930, elle devient célèbre avec le film L’Ange bleu, qui lui ouvre les portes d’une carrière internationale. Opposée au régime nazi, Marlène Dietrich adopte la nationalité américaine. Mais c’est à Paris, où elle a vécu les 12 dernières années de sa vie, qu’elle décède en 1992. ",https://www.interflora.fr/blog/wp-content/uploads/2015/03/Marl%C3%A8ne-Dietrich.jpg
"Anne Frank, la victime","  Née en 1929 à Francfort-sur-le-Main, Anne Frank quitte l’Allemagne avec sa famille en 1933 pour fuir les persécutions nazies contre les Juifs. Installée à Amsterdam, la famille est déportée vers les camps d’extermination en 1944, où la jeune fille décèdera deux mois seulement avant la capitulation allemande. Le Journal de cette adolescente victime de la Shoah, paru en 1947, est aujourd’hui l’un des livres le plus lus dans le monde. ",https://www.interflora.fr/blog/wp-content/uploads/2015/03/Anne-Frank.jpeg
"Simone de Beauvoir, la femme de lettres","  Née en 1908 à Paris, Simone de Beauvoir est une philosophe et romancière française qui a partagé la vie d’un autre célèbre philosophe, Jean-Paul Sartre. Considérée comme l’une des plus importantes théoriciennes du féminisme, son œuvre est consacrée des 1949 avec la publication du Deuxième Sexe, qui fait scandale jusqu’au Vatican. Simone de Beauvoir s’est éteinte en 1986 à l’âge de 78 ans. ",https://www.interflora.fr/blog/wp-content/uploads/2015/03/Simone-de-Beauvoir.jpg
"Mère Teresa, la religieuse","  Née en 1910 dans l’actuelle Macédoine, Mère Teresa est une religieuse catholique de nationalité indienne. Elle a conquis le cœur des Français grâce à ses actions caritatives et la fondation de sa congrégation en 1950. Mère Teresa a consacré une grande partie de sa vie aux pauvres et aux malades dans le monde entier, en développant notamment les Missionnaires de la Charité. Elle a été béatifiée en 2003 par le pape Jean-Paul II. ",https://www.interflora.fr/blog/wp-content/uploads/2015/03/M%C3%A8re-Teresa.jpg
"Françoise Sagan, le petit monstre","  Née en 1935 à Carjac, dans le Lot, Françoise Sagan est une écrivaine emblématique du siècle dernier. Son roman le plus célèbre est aussi le premier : Bonjour tristesse, paru en 1954. La talentueuse jeune femme se voit gratifier de nombreux surnoms, du « charmant petit monstre » à la « Mademoiselle Chanel de la littérature ». Françoise Sagan est aussi connue pour ses prises de position politique et ses déboires judiciaires. ",https://www.interflora.fr/blog/wp-content/uploads/2015/03/Fran%C3%A7oise-Sagan.jpg
"Brigitte Bardot, la femme fatale","  Née en 1934 à Paris, Brigitte Bardot est une figure emblématique des années 1950 et 1960. Actrice, mannequin et chanteuse, elle incarne aussi bien la liberté sexuelle que l’émancipation des femmes. En 1956, elle dévoile sa nudité dans le film Et Dieu… créa la femme, qui déclenche la colère du Vatican mais fait d’elle une égérie internationale. En 1973, BB met un terme à sa carrière pour se consacrer à la défense des animaux. ",https://www.interflora.fr/blog/wp-content/uploads/2015/03/Brigitte-Bardot.jpeg
"Marilyn Monroe, la sex-symbol","  Née en 1926 à Los Angeles, Marilyn Monroe est une actrice et chanteuse américaine les plus connues à travers le monde. Elle connaît la gloire au début des années 50 avec des rôles de sex-symbol dans des films devenus cultes, comme Les hommes préfèrent les blondes ou Certains l’aiment chaud, qui lui vaut le Golden Globe de la meilleur actrice en 1960. Les causes de sa mort, en 1962, font toujours l’objet de vives spéculations. ",https://www.interflora.fr/blog/wp-content/uploads/2015/03/Marilyn-Monroe.jpeg
